scenario,file_id,view,passed,failed,total,pass_rate,failed_tests
fork,1,normal,3,0,3,1.0,
fork,1,strict_final,3,0,3,1.0,
fork,2,normal,5,0,5,1.0,
fork,2,strict_final,5,0,5,1.0,
fork,3,normal,3,0,3,1.0,
fork,3,strict_final,3,0,3,1.0,
loop,1,normal,3,0,3,1.0,
loop,1,strict_final,3,0,3,1.0,
loop,2,normal,2,1,3,0.6666666666666666,T2b
loop,2,strict_final,2,1,3,0.6666666666666666,T2b
loop,3,normal,2,0,2,1.0,
loop,3,strict_final,2,0,2,1.0,
simple,1,normal,2,0,2,1.0,
simple,1,strict_final,2,0,2,1.0,
simple,2,normal,3,0,3,1.0,
simple,2,strict_final,3,0,3,1.0,
simple,3,normal,3,0,3,1.0,
simple,3,strict_final,3,0,3,1.0,
trycatch,1,normal,2,0,2,1.0,
trycatch,1,strict_final,2,0,2,1.0,
trycatch,2,normal,2,0,2,1.0,
trycatch,2,strict_final,2,0,2,1.0,
trycatch,3,normal,3,0,3,1.0,
trycatch,3,strict_final,1,2,3,0.3333333333333333,"T3b,T3c"
