generator,category,n,mean,std
claude,semantic,12,0.8375,0.0764989106676254
claude,specification,12,0.8156666666666667,0.11169104211569023
claude,structural,12,0.9464166666666667,0.04152400577443793
gpt,semantic,12,0.8583333333333334,0.04524623986832744
gpt,specification,12,0.7931666666666667,0.12258795028694931
gpt,structural,12,0.9490833333333334,0.04333100955307744
swe,semantic,12,0.7783333333333333,0.0928110386155057
swe,specification,12,0.815625,0.11129973139380585
swe,structural,12,0.9045,0.0585569523341735
