generator,evaluator,category,n,mean,std
claude,claude,semantic,4,0.74,0.0374165738677394
claude,claude,specification,4,0.6719999999999999,0.051860389508757064
claude,claude,structural,4,0.9117500000000001,0.0390280347955159
claude,gpt,semantic,4,0.8725,0.008291561975888507
claude,gpt,specification,4,0.8675,0.043803538669838084
claude,gpt,structural,4,0.9450000000000001,0.014999999999999958
claude,swe,semantic,4,0.9,0.03807886552931954
claude,swe,specification,4,0.9075,0.03249999999999997
claude,swe,structural,4,0.9825,0.030310889132455332
gpt,claude,semantic,4,0.8025,0.017853571071357086
gpt,claude,specification,4,0.66325,0.061169334637545314
gpt,claude,structural,4,0.94725,0.030457962834043888
gpt,gpt,semantic,4,0.9,0.020000000000000018
gpt,gpt,specification,4,0.805,0.09912113800799502
gpt,gpt,structural,4,0.9475,0.030310889132455332
gpt,swe,semantic,4,0.8725,0.019202864369671536
gpt,swe,specification,4,0.91125,0.02355180460177095
gpt,swe,structural,4,0.9525,0.06139014578904338
swe,claude,semantic,4,0.6699999999999999,0.04999999999999999
swe,claude,specification,4,0.765625,0.05032317433350169
swe,claude,structural,4,0.8535,0.03853894134508626
swe,gpt,semantic,4,0.825,0.06538348415311011
swe,gpt,specification,4,0.805,0.1494155279748393
swe,gpt,structural,4,0.9125000000000001,0.03031088913245538
swe,swe,semantic,4,0.84,0.03674234614174766
swe,swe,specification,4,0.87625,0.07757053242050099
swe,swe,structural,4,0.9475,0.0580409338312195
